"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Bradyrhizobium prioriisuperbiae",0,0,23,0,0,0
"Bradyrhizobium brasilense",0,0,57,0,0,0
"Bradyrhizobium oligotrophicum",0,0,26,0,0,0
"Bradyrhizobium arachidis",0,0,71,0,0,0
"Tardiphaga sp. 37S4",0,0,34,0,0,0
"Tardiphaga alba",0,0,17,0,0,0
"Nitrobacter sp. TKz-YC02",0,0,13,0,0,0
"Mesorhizobium sp. AaZ16",0,0,48,15,0,0
"Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1",0,0,208,0,0,0
"Mesorhizobium sp. DCY119",0,0,33,0,0,0
"Mesorhizobium sp. NZP2077",0,0,54,0,0,0
"Mesorhizobium sp.",0,0,34,0,0,0
"Mesorhizobium sp. AR10",0,0,36,22,0,0
"Mesorhizobium sp. RIZ17",0,0,35,15,0,0
"Mesorhizobium sp. WSM4083",0,0,57,0,0,0
"Mesorhizobium sp. 8",0,0,22,40,79,31
"Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1",0,0,35,0,0,53
"Mesorhizobium sp. ORM8.1",0,0,24,0,0,0
"Mesorhizobium sp. B2-8-5",0,0,24,0,0,0
"Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1",0,0,29,983,0,0
"Mesorhizobium sp. J8",0,0,20,88,0,0
"Mesorhizobium koreense",0,0,22,0,0,15
"Phyllobacterium sp. K27",0,0,20,0,0,0
"Nitratireductor sp. GISD-1A_MAKvit",0,0,102,123,0,0
"Nitratireductor rhodophyticola",0,0,35,0,0,0
"Aminobacter niigataensis",0,0,167,0,0,0
"Aquibium microcysteis",0,0,120,0,0,18
"Methylobacterium sp. WL1",0,0,30,0,0,0
"Methylobacterium aquaticum",0,0,46,0,95,0
"Methylobacterium organophilum",0,0,24,0,19,0
"Methylobacterium currus",0,0,25,0,0,0
"Methylobacterium radiodurans",0,0,19,0,0,0
"Methylobacterium fujisawaense",0,0,85,0,0,0
"Methylobacterium mesophilicum",0,0,17,0,0,0
"Devosia sp. YIM 151766",0,0,104,0,0,0
"Devosia sp.",0,0,21,0,0,0
"Devosia sp. A16",0,0,20,0,0,0
"Devosia oryziradicis",0,0,13,0,0,0
"Pelagibacterium sp. 26DY04",0,0,18,0,0,0
"Pelagibacterium nitratireducens",0,0,18,0,0,24
"Paradevosia tibetensis",0,0,21,0,0,0
"Roseibium alexandrii",0,0,20,0,0,0
"Roseibium aggregatum",0,0,68,0,0,0
"Stappia indica",0,0,44,26,0,0
"Breoghania sp.",0,0,41,0,18,0
"Breoghania sp. L-A4",0,0,16,0,0,0
"Labrenzia sp. VG12",0,0,59,0,0,0
"Pseudovibrio brasiliensis",0,0,25,13,0,0
"Methylocystis parvus",0,0,72,0,0,0
"Methylocystis echinoides",0,0,12,0,0,0
"Methylosinus sporium",0,0,26,0,0,0
"Bosea sp. Tri-49",0,0,28,22,0,0
"Labrys okinawensis",0,0,13,0,0,0
"Pseudolabrys sp. FHR47",0,0,20,0,43,41
"Aureimonas sp. SA4125",0,0,15,0,0,0
"Aureimonas phyllosphaerae",0,0,17,0,0,0
"Martelella soudanensis",0,0,16,0,0,0
"Jiella pelagia",0,0,19,0,0,0
"Antarcticirhabdus aurantiaca",0,0,20,0,0,0
"Brucella intermedia",0,0,46,76,0,0
"Brucella pituitosa",0,0,72,0,0,0
"Pseudochrobactrum sp. MP213Fo",0,0,26,0,0,0
"Enhydrobacter sp.",0,0,101,0,0,0
"Oricola indica",0,0,16,0,0,0
"Roseitalea porphyridii",0,0,18,0,0,0
"Acuticoccus sp.",0,0,54,0,0,0
"Bartonella sp. WD16.2",0,0,47,0,0,0
"Bartonella sp. B23",0,0,21,0,0,0
"Pleomorphomonas sp. PLEO",0,0,12,33,31,0
"Hartmannibacter diazotrophicus",0,0,46,0,0,0
"Anderseniella sp. Alg231-50",0,0,37,0,19,0
"Methylocapsa sp. D3K7",0,0,13,0,0,0
"Aestuariivirga sp.",0,0,19,0,0,0
"Blastochloris tepida",0,0,23,0,28,0
"Coralliovum pocilloporae",0,0,15,0,0,0
"Sphingomonas sp. Y38-1Y",0,0,80,0,0,0
"Sphingomonas sp. S2-65",0,0,33,91,0,0
"Sphingomonas sp. DBB INV C78",0,0,28,0,0,0
"Sphingomonas sp. LY29",0,0,26,0,0,0
"Sphingomonas sp. CV7422",0,0,32,260,0,0
"Sphingomonas sp. MMS24-J45",0,0,19,0,0,0
"Sphingomonas sp. Tas61C01",0,0,15,0,18,0
"Sphingomonas suaedae",0,0,81,0,33,0
"Sphingomonas sanguinis",0,0,116,0,0,0
"Sphingomonas hengshuiensis",0,0,57,0,0,0
"Sphingomonas melonis",0,0,106,0,0,0
"Sphingomonas zeae",0,0,67,0,0,0
"Sphingomonas flavescens",0,0,22,0,18,0
"Sphingomonas changnyeongensis",0,0,22,0,44,0
"Sphingomonas aerolata",0,0,17,0,0,0
"Sphingomonas naphthae",0,0,21,0,0,0
"Sphingomonas sediminicola",0,0,13,22,0,0
"Novosphingobium sp. ES2-1",0,0,37,0,0,0
"Novosphingobium sp. KACC 22771",0,0,21,25,0,0
"Novosphingobium sp. BL-8H",0,0,23,0,0,0
"Novosphingobium sp. BL-8A",0,0,20,0,0,0
"Novosphingobium sp. BL-52-GroH",0,0,16,0,0,0
"Novosphingobium capsulatum",0,0,95,0,28,15
"Novosphingobium decolorationis",0,0,60,0,0,0
"Novosphingobium resinovorum",0,0,35,0,0,0
"Novosphingobium olei",0,0,16,0,18,0
"Citromicrobium sp. JL477",0,0,102,0,0,0
"Stakelama saccharophila",0,0,60,0,0,12
"Erythrobacter sp. W53",0,0,298,0,0,0
"Erythrobacter sp. KY5",0,0,73,0,0,0
"Erythrobacter sp.",0,0,23,0,0,67
"Erythrobacter sp. JK5",0,0,17,0,0,0
"Erythrobacter sp. SDW2",0,0,18,0,0,0
"Porphyrobacter sp. LM 6",0,0,39,0,0,0
"Porphyrobacter sp. YT40",0,0,23,31,0,0
"Altererythrobacter sp. BO-6",0,0,113,0,0,0
"Altererythrobacter sp. ZODW24",0,0,21,0,0,0
"Altererythrobacter rubellus",0,0,69,0,0,0
"Altererythrobacter ishigakiensis",0,0,41,0,0,0
"Qipengyuania sp. DGS2-2",0,0,36,0,0,0
"Qipengyuania sediminis",0,0,42,0,37,0
"Qipengyuania aquimaris",0,0,25,0,0,0
"Tsuneonella sp. CC-YZS046",0,0,93,0,0,0
"Tsuneonella flava",0,0,35,0,0,0
"Aurantiacibacter gangjinensis",0,0,58,0,0,0
"Sphingobium sp. TKS",0,0,134,0,0,0
"Sphingobium sp. CR28",0,0,20,0,0,0
"Sphingobium sp. SYK-6",0,0,25,0,0,0
"Sphingobium sp. AP49",0,0,25,0,0,0
"Sphingobium yanoikuyae",0,0,211,0,0,29
"Sphingobium wenxiniae",0,0,84,0,0,76
"Sphingobium xenophagum",0,0,34,0,0,0
"Sphingobium naphthae",0,0,25,0,0,0
"Sphingopyxis sp. NJF-3",0,0,143,0,0,0
"Sphingopyxis sp. YF1",0,0,90,0,0,0
"Sphingopyxis sp. USTB-05",0,0,18,0,0,0
"Sphingopyxis sp. QXT-31",0,0,18,28,0,0
"Novosphingopyxis sp.",0,0,91,14,20,0
"Parasphingorhabdus sp.",0,0,21,0,0,0
"Sphingorhabdus sp. YGSMI21",0,0,33,0,0,16
"Allosphingosinicella flava",0,0,179,0,0,0
"Sphingomicrobium flavum",0,0,12,0,0,0
"Rhizorhabdus phycosphaerae",0,0,63,0,0,0
"Alterirhizorhabdus profundi",0,0,24,0,0,0
"Glacieibacterium sp.",0,0,19,0,0,0
"Parasphingopyxis algicola",0,0,12,0,0,0
"Sulfitobacter alexandrii",0,0,291,0,34,0
"Sulfitobacter faviae",0,0,162,27,43,0
"Sulfitobacter albidus",0,0,69,0,0,40
"Sulfitobacter sp. S190",0,0,16,0,0,0
"Sulfitobacter sp. SK012",0,0,14,56,0,15
"Sulfitobacter mediterraneus",0,0,40,19,0,0
"Leisingera caerulea",0,0,42,0,0,0
"Roseovarius faecimaris",0,0,94,0,18,0
"Salipiger sp. CCB-MM3",0,0,68,0,0,0
"Salipiger profundus",0,0,19,0,0,0
"Salipiger abyssi",0,0,19,0,0,0
"Celeribacter indicus",0,0,30,0,0,0
"Phaeobacter inhibens",0,0,42,0,0,0
"Mameliella sp.",0,0,60,0,0,0
"Tateyamaria sp. SN6-1",0,0,15,0,0,0
"Roseivivax marinus",0,0,30,0,0,0
"Roseobacter ponti",0,0,14,0,17,102
"Ruegeria sp. SCSIO 43209",0,0,19,0,0,0
"Ketogulonicigenium vulgare",0,0,17,89,0,0
"Phycobium rhodophyticola",0,0,23,0,0,0
"Dinoroseobacter shibae",0,0,26,0,0,0
"Thalassococcus sp. S3",0,0,12,0,0,0
"Pelagimonas varians",0,0,10,40,20,0
"Paracoccus sp. MC1862",0,0,23,0,0,0
"Paracoccus sp. MA",0,0,42,0,0,0
"Paracoccus sp. TOH",0,0,26,0,0,0
"Paracoccus jeotgali",0,0,94,0,0,0
"Paracoccus denitrificans",0,0,111,0,0,0
"Paracoccus aminophilus",0,0,28,0,0,0
"Paracoccus suum",0,0,29,0,0,0
"Paracoccus sediminicola",0,0,29,0,0,0
"Paracoccus alcaliphilus",0,0,21,0,0,0
"Paracoccus albus",0,0,20,0,0,0
"Thioclava nitratireducens",0,0,138,0,0,0
"Thioclava sp. FR2",0,0,43,0,0,0
"Limimaricola litoreus",0,0,46,0,0,0
"Pseudooceanicola nitratireducens",0,0,86,0,0,0
"Pseudooceanicola sp. 502str34",0,0,51,0,0,0
"Yoonia sp. R78084",0,0,47,0,0,0
"Yoonia vestfoldensis",0,0,61,0,0,0
"Marinibacterium sp. SX1",0,0,72,0,0,0
"Brevirhabdus pacifica",0,0,81,0,0,0
"Silicimonas algicola",0,0,49,0,0,0
"Pseudopelagicola sp. nBUS_19",0,0,25,0,0,0
"Pelagovum pacificum",0,0,39,0,0,0
"Pseudogemmobacter blasticus",0,0,24,0,0,0
"Qingshengfaniella alkalisoli",0,0,12,0,0,0
"Rhodobacter sp. CZR27",0,0,15,0,28,0
"Azospirillum sp. TSA2s",0,0,22,0,61,0
"Azospirillum sp. TSH100",0,0,17,0,0,0
"Azospirillum argentinense",0,0,77,0,0,0
"Azospirillum endophyticum",0,0,33,0,0,0
"Azospirillum palustre",0,0,57,0,0,0
"Skermanella pratensis",0,0,149,0,0,0
"Skermanella rosea",0,0,27,0,0,0
"Ferrovibrio terrae",0,0,67,0,0,0
"Ferrovibrio sp.",0,0,51,0,0,0
"Thalassospira tepidiphila",0,0,41,0,0,0
"Algihabitans albus",0,0,84,0,0,0
"Nisaea sp.",0,0,136,32,0,0
"Haematospirillum jordaniae",0,0,38,0,0,0
"Hwanghaeella sp.",0,0,54,0,21,14
"Zavarzinia sp. CC-PAN008",0,0,42,0,15,0
"Hypericibacter terrae",0,0,29,0,0,0
"Roseomonas cutis",0,0,67,0,0,0
"Roseomonas marmotae",0,0,31,0,39,0
"Roseococcus microcysteis",0,0,80,0,0,0
"Sediminicoccus sp. BL-A-41-H5",0,0,34,0,0,0
"Komagataeibacter xylinus",0,0,41,0,0,0
"Komagataeibacter medellinensis",0,0,23,0,0,0
"Komagataeibacter nataicola",0,0,15,0,0,0
"Acetobacter tropicalis",0,0,30,0,0,0
"Gluconobacter albidus",0,0,19,0,0,0
"Rhodopila sp.",0,0,27,0,0,0
"Pararoseomonas sp. SCSIO 73927",0,0,21,0,0,0
"Granulibacter bethesdensis",0,0,16,0,0,0
"Candidatus Kirkpatrickella diaphorinae",0,0,13,0,0,0
"Acidisoma cladoniae",0,0,50,0,0,0
"Brevundimonas sp. NIBR11",0,0,25,0,0,0
"Brevundimonas goettingensis",0,0,18,0,0,0
"Caulobacter sp.",0,0,24,0,0,0
"Caulobacter henricii",0,0,69,0,0,0
"Phenylobacterium sp.",0,0,61,0,0,0
"Phenylobacterium sp. LH3H17",0,0,24,0,0,0
"Asticcacaulis sp. ZE23SCel15",0,0,55,0,21,0
"Asticcacaulis sp. AND118",0,0,56,47,0,45
"Asticcacaulis solisilvae",0,0,59,0,0,0
"Marinivivus vitaminiproducens",0,0,16,0,16,13
"Wolbachia endosymbiont (group E) of Neria commutata",0,0,12,0,0,0
"Rickettsia endosymbiont of Cantharis rufa",0,0,49,0,0,0
"Glycocaulis alkaliphilus",0,0,15,0,0,0
"Litorimonas sp. WD9-15",0,0,17,0,22,0
"Hyphomonas sp. FCG-A18",0,0,43,0,0,0
"Hirschia baltica",0,0,51,0,0,0
"Parvularcula sp. IMCC14364",0,0,10,0,0,0
"Candidatus Pelagibacter bacterium nBUS_36",0,0,23,0,0,0
"Candidatus Puniceispirillum marinum",0,0,40,0,0,65
"Candidatus Nucleicultrix amoebiphila",0,0,19,0,0,0
"Sneathiella marina",0,0,14,0,34,0
"Kordiimonas sp.",0,0,12,0,0,0
"Burkholderia stabilis",0,0,107,0,95,0
"Burkholderia aenigmatica",0,0,21,0,0,0
"Burkholderia mayonis",0,0,16,0,0,0
"Burkholderia sp. LMG 32019",0,0,93,0,0,0
"Burkholderia sp. 22PA0106",0,0,30,56,0,0
"Burkholderia sp. MSMB0856",0,0,23,0,0,0
"Cupriavidus sp. 30B13",0,0,91,0,0,0
"Cupriavidus sp. H39",0,0,52,0,0,0
"Cupriavidus sp. a3",0,0,94,0,0,0
"Cupriavidus necator",0,0,119,30,0,0
"Paraburkholderia sp. IMGN_8",0,0,32,21,0,0
"Paraburkholderia sp. D15",0,0,22,0,0,0
"Paraburkholderia sp. PREW-6R",0,0,15,0,0,0
"Paraburkholderia dioscoreae",0,0,42,0,0,0
"Paraburkholderia edwinii",0,0,27,0,0,0
"Paraburkholderia phenoliruptrix",0,0,34,0,39,0
"Paraburkholderia caledonica",0,0,38,0,0,0
"Paraburkholderia aromaticivorans",0,0,28,0,35,0
"Paraburkholderia bonniea",0,0,21,32,0,0
"Paraburkholderia acidiphila",0,0,19,0,0,0
"Paraburkholderia sprentiae",0,0,17,0,0,0
"Paraburkholderia sacchari",0,0,16,0,0,0
"Paraburkholderia graminis",0,0,13,0,0,0
"Polynucleobacter sp. UK-FUSCHL-C3",0,0,24,0,0,0
"Polynucleobacter necessarius",0,0,51,0,66,16
"Polynucleobacter difficilis",0,0,43,0,10,0
"Polynucleobacter paludilacus",0,0,17,0,0,0
"Ralstonia sp. 25C",0,0,22,0,0,0
"Ralstonia thomasii",0,0,137,0,0,0
"Pandoraea pnomenusa",0,0,29,0,0,0
"Pandoraea faecigallinarum",0,0,25,0,0,0
"Pandoraea pulmonicola",0,0,15,0,0,0
"Pandoraea sputorum",0,0,23,0,0,0
"Mycoavidus sp. SF9855",0,0,135,0,0,0
"Lautropia mirabilis",0,0,77,0,31,0
"Limnobacter thiooxidans",0,0,44,0,0,13
"Candidatus Vallotiella hemipterorum",0,0,11,0,0,0
"Pararobbsia alpina",0,0,10,0,0,0
"Variovorax sp. WDL1",0,0,58,0,0,0
"Variovorax sp. PBL-E5",0,0,99,0,39,0
"Variovorax sp. HW608",0,0,40,0,22,0
"Variovorax sp. R-27",0,0,99,0,0,0
"Variovorax sp. SRS16",0,0,61,0,0,0
"Variovorax sp. 38R",0,0,61,0,0,0
"Variovorax sp. UC74_104",0,0,35,0,0,0
"Variovorax sp. PAMC28562",0,0,13,0,11,0
"Variovorax sp. 350MFTsu5.1",0,0,66,139,0,0
"Variovorax sp. RKNM96",0,0,17,0,0,54
"Variovorax atrisoli",0,0,26,0,0,0
"Comamonas sp. GB3 AK4-5",0,0,67,0,0,0
"Comamonas sp. NLF-1-9",0,0,21,0,0,0
"Comamonas testosteroni",0,0,149,0,0,0
"Comamonas endophytica",0,0,17,0,0,0
"Comamonas odontotermitis",0,0,13,0,0,0
"Acidovorax sp. A79",0,0,146,0,0,0
"Acidovorax sp. FHTAMBA",0,0,126,0,0,0
"Acidovorax sp. JMULE5",0,0,58,0,0,0
"Acidovorax sp. M14",0,0,25,0,0,0
"Acidovorax sp. RAC01",0,0,17,0,0,0
"Acidovorax sp. T1",0,0,24,0,0,0
"Acidovorax sp.",0,0,16,0,0,0
"Acidovorax carolinensis",0,0,30,25,0,0
"Acidovorax facilis",0,0,27,0,0,0
"Acidovorax radicis",0,0,15,0,0,0
"Hydrogenophaga sp. SNF1",0,0,127,0,0,0
"Hydrogenophaga sp. NH-16",0,0,85,0,0,0
"Hydrogenophaga sp. PAMC20947",0,0,15,0,0,0
"Limnohabitans sp. 103DPR2",0,0,18,0,0,42
"Polaromonas sp. JS666",0,0,105,0,46,0
"Polaromonas vacuolata",0,0,16,0,0,0
"Polaromonas aquatica",0,0,15,0,0,0
"Ottowia sp. SB7-C50",0,0,37,0,0,0
"Rhodoferax sp. WC2427",0,0,13,0,0,0
"Rhodoferax sediminis",0,0,34,0,0,0
"Paracidovorax avenae",0,0,50,0,0,0
"Delftia sp. PS-11",0,0,27,0,0,0
"Delftia acidovorans",0,0,60,46,0,0
"Ramlibacter sp. MMS24-I3-19",0,0,42,0,0,0
"Melaminivora jejuensis",0,0,30,0,0,0
"Verminephrobacter eiseniae",0,0,16,0,17,0
"Vandammella animalimorsus",0,0,13,0,0,0
"Oxalobacter formigenes",0,0,217,0,54,0
"Massilia sp. WG5",0,0,87,0,0,0
"Massilia sp. GER05",0,0,44,0,0,0
"Massilia sp. R2A-15",0,0,18,0,0,0
"Massilia violaceinigra",0,0,92,0,27,0
"Pseudoduganella sp. UC29_106",0,0,34,0,0,0
"Pseudoduganella sp. SL102",0,0,50,0,0,0
"Pseudoduganella armeniaca",0,0,32,0,0,0
"Pseudoduganella lutea",0,0,22,0,0,0
"Pseudoduganella aquatica",0,0,16,0,0,0
"Duganella dendranthematis",0,0,15,0,35,0
"Telluria mixta",0,0,29,0,0,0
"Rugamonas sp. DEMB1",0,0,31,0,0,0
"Herbaspirillum seropedicae",0,0,131,11,19,16
"Herbaspirillum frisingense",0,0,127,0,0,0
"Herbaspirillum sp. WKF16",0,0,48,0,0,0
"Herbaspirillum sp. meg3",0,0,23,0,18,0
"Herbaspirillum robiniae",0,0,34,77,0,17
"Janthinobacterium sp. 1_2014MBL_MicDiv",0,0,34,0,0,0
"Janthinobacterium lividum",0,0,85,0,0,0
"Janthinobacterium agaricidamnosum",0,0,23,0,0,0
"Collimonas pratensis",0,0,15,0,0,0
"Noviherbaspirillum sp. UKPF54",0,0,14,0,0,0
"Undibacterium sp. YM2",0,0,15,0,0,0
"Actimicrobium sp. CCC2.4",0,0,11,0,0,0
"Neoundibacterium parvum",0,0,10,0,13,0
"Bordetella sp. 2513F-2",0,0,74,0,0,0
"Bordetella sp. N",0,0,46,38,22,0
"Bordetella holmesii",0,0,88,0,0,0
"Bordetella petrii",0,0,78,0,25,0
"Bordetella genomosp. 9",0,0,47,0,0,0
"Bordetella trematum",0,0,38,0,0,0
"Bordetella bronchialis",0,0,36,0,0,0
"Bordetella flabilis",0,0,26,0,0,0
"Bordetella genomosp. 8",0,0,12,0,0,0
"Achromobacter aegrifaciens",0,0,69,0,0,0
"Achromobacter anxifer",0,0,35,0,0,0
"Achromobacter insolitus",0,0,18,0,0,0
"Castellaniella caeni",0,0,65,0,29,47
"Neopusillimonas aromaticivorans",0,0,110,0,0,0
"Parapusillimonas sp. JC17",0,0,50,0,22,0
"Oligella urethralis",0,0,30,87,0,10
"Roseateles sp.",0,0,59,0,0,0
"Roseateles sp. DAIF2",0,0,41,0,0,0
"Roseateles chitinivorans",0,0,96,0,0,0
"Piscinibacter sp. XHJ-5",0,0,18,0,0,21
"Methylibium sp.",0,0,95,42,14,0
"Rubrivivax sp. RP6-9",0,0,21,0,0,0
"Leptothrix cholodnii",0,0,22,0,0,0
"Ideonella dechloratans",0,0,50,0,0,0
"Aquincola tertiaricarbonis",0,0,29,0,0,16
"Piscinibacterium candidicorallinum",0,0,43,0,0,0
"Eleftheria terrae",0,0,28,11,0,0
"Candidatus Ichthyocystis hellenicum",0,0,14,0,0,0
"Neisseria sp. Ec49-e6-T10",0,0,10,15,12,32
"Neisseria mucosa",0,0,46,0,68,0
"Vitreoscilla massiliensis",0,0,60,0,0,0
"Chromobacterium paludis",0,0,76,0,0,0
"Chromobacterium subtsugae",0,0,21,0,0,0
"Chromobacterium amazonense",0,0,19,0,0,0
"Aquitalea magnusonii",0,0,42,0,0,0
"Microvirgula aerodenitrificans",0,0,12,0,0,0
"Denitratisoma oestradiolicum",0,0,50,15,24,13
"Denitratisoma sp. DHT3",0,0,42,0,0,0
"Gallionella capsiferriformans",0,0,32,10,0,0
"Candidatus Nitrotoga arctica",0,0,19,0,0,0
"Sideroxydans lithotrophicus",0,0,12,36,0,0
"Sideroxyarcus emersonii",0,0,16,0,0,0
"Methylophilus sp. DW102",0,0,29,0,0,0
"Usitatibacter palustris",0,0,54,0,0,0
"Thiobacillus denitrificans",0,0,36,0,0,0
"Thauera humireducens",0,0,68,62,0,0
"Thauera butanivorans",0,0,20,0,0,0
"Azoarcus sp. CIB",0,0,47,0,0,0
"Nitrogeniibacter aestuarii",0,0,19,104,53,42
"Nitrogeniibacter mangrovi",0,0,13,0,20,0
"Pseudothauera hydrothermalis",0,0,27,0,0,0
"Niveibacterium sp. SC-1",0,0,13,46,0,0
"Niveibacterium microcysteis",0,0,11,0,0,0
"Oryzomicrobium terrae",0,0,27,0,13,0
"Dechloromonas sp. ARDL1",0,0,46,0,0,0
"Candidatus Vidania fulgoroideorum",0,0,20,0,26,0
"Chitinivorax sp. PXF-14",0,0,17,0,0,0
"Ferrovum myxofaciens",0,0,40,0,0,0
"Acidithiobacillus ferrooxidans",0,0,37,0,0,0
"Acidithiobacillus sp. AMEEHan",0,0,15,0,0,0
"Acidithiobacillus ferruginosus",0,0,26,0,0,0
"Acidithiobacillus sulfuriphilus",0,0,11,0,0,0
"Akkermansia sp. RCC_12PD",0,0,220,0,274,0
"Akkermansia sp. AKK6",0,0,30,0,24,0
"Akkermansia sp. BCRC 18949",0,0,44,0,0,0
"Akkermansia biwaensis",0,0,463,0,14,0
"Luteolibacter sp. LG18",0,0,19,20,50,23
"Luteolibacter luteus",0,0,11,0,21,0
"Sulfuriroseicoccus oceanibius",0,0,18,0,0,0
"Roseibacillus persicicus",0,0,10,0,0,0
"Fontisphaera persica",0,0,11,0,0,0
"Horticoccus luteus",0,0,23,0,28,13
"Nibricoccus aquaticus",0,0,32,0,0,0
"Ruficoccus sp. ZRK36",0,0,133,0,32,0
"Methylacidimicrobium sp. AP8",0,0,10,53,10,0
"Gimesia chilikensis",0,0,65,0,42,10
"Gimesia fumaroli",0,0,36,0,13,0
"Gimesia algae",0,0,19,0,0,0
"Planctomicrobium mucosum",0,0,79,0,0,0
"Planctomicrobium stercoris",0,0,45,0,20,10
"Planctomyces sp. SH-PL62",0,0,95,0,0,0
"Polystyrenella longa",0,0,88,0,0,0
"Planctellipticum variicoloris",0,0,64,0,0,0
"Crateriforma spongiae",0,0,31,0,0,0
"Maioricimonas rarisocia",0,0,50,0,0,16
"Caulifigura coniformis",0,0,45,0,0,0
"Lacipirellula limnantheis",0,0,40,0,0,0
"Aeoliella mucimassa",0,0,10,0,0,0
"Botrimarina mediterranea",0,0,57,0,0,0
"Anatilimnocola sp. NA78",0,0,36,0,0,0
"Anatilimnocola aggregata",0,0,33,75,0,0
"Stieleria varia",0,0,16,0,0,0
"Rubripirellula lacrimiformis",0,0,27,0,0,0
"Bremerella volcania",0,0,11,11,13,15
"Tundrisphaera lichenicola",0,0,20,0,0,0
"Gemmata sp. SH-PL17",0,0,47,0,0,15
"Frigoriglobus tundricola",0,0,19,18,36,14
"Telmatocola sphagniphila",0,0,11,0,0,0
"Poriferisphaera corsica",0,0,28,0,0,0
"Humisphaera borealis",0,0,16,0,0,0
"Limihaloglobus sulfuriphilus",0,0,23,0,0,0
"Chlamydia suis",0,0,13,0,0,0
"Candidatus Velamenicoccus archaeovorus",0,0,24,0,0,0
"Desulfovibrio sp. G11",0,0,969,0,0,0
"Desulfovibrio falkowii",0,0,133,0,0,0
"Pseudodesulfovibrio sp. zrk46",0,0,188,0,0,0
"Pseudodesulfovibrio methanolicus",0,0,60,0,0,0
"Pseudodesulfovibrio piezophilus",0,0,14,0,0,0
"Solidesulfovibrio carbinolicus",0,0,20,0,0,0
"Thermodesulfomicrobium sp. WS",0,0,37,0,0,0
"Geobacter anodireducens",0,0,30,0,0,0
"Geomonas diazotrophica",0,0,39,0,26,0
"Geomonas subterranea",0,0,29,0,0,0
"Geomonas paludis",0,0,15,0,0,0
"Trichlorobacter ammonificans",0,0,84,0,0,0
"Pelobacter propionicus",0,0,18,0,12,0
"Desulfonema limicola",0,0,16,0,18,0
"Desulfobacter postgatei",0,0,43,0,0,0
"Desulforapulum autotrophicum",0,0,14,0,0,0
"Desulfosudis oleivorans",0,0,28,14,0,0
"Desulfotalea psychrophila",0,0,110,0,0,0
"Desulfosediminicola flagellatus",0,0,10,0,61,0
"Candidatus Electrothrix sp. GW3-4",0,0,34,0,0,0
"Desulfolithobacter dissulfuricans",0,0,18,0,0,0
"Syntrophus buswellii",0,0,104,0,12,0
"Desulfobacca acetoxidans",0,0,13,0,0,0
"Corallococcus macrosporus",0,0,180,40,0,26
"Corallococcus coralloides",0,0,236,22,50,0
"Myxococcus xanthus",0,0,55,0,0,0
"Pyxidicoccus parkwayensis",0,0,50,0,32,28
"Pseudomyxococcus flavus",0,0,17,0,0,0
"Stigmatella aurantiaca",0,0,63,0,13,14
"Anaeromyxobacter sp. Fw109-5",0,0,13,0,0,0
"Pendulispora albinea",0,0,13,0,20,11
"Sorangium sp. So ce1182",0,0,110,0,0,0
"Sorangium sp. So ce1078",0,0,53,0,0,0
"Sorangium sp. So ce1153",0,0,41,0,0,0
"Sorangium sp. So ce385",0,0,40,0,0,0
"Sorangium sp. So ce117",0,0,52,0,0,0
"Sorangium sp. So ce296",0,0,60,0,0,0
"Nannocystis pusilla",0,0,20,49,30,42
"Treponema sp. OMZ 788",0,0,181,0,29,35
"Treponema succinifaciens",0,0,56,0,0,0
"Treponema socranskii",0,0,31,0,0,0
"Treponema ruminis",0,0,14,22,12,43
"Sphaerochaeta pleomorpha",0,0,94,0,53,19
"Oceanispirochaeta crateris",0,0,14,10,0,0
"Borrelia hermsii",0,0,29,0,0,0
"Leptospira sp. GIMC2001",0,0,51,0,0,0
"Leptospira sp. 'Mane'",0,0,32,0,0,0
"Leptospira biflexa",0,0,39,0,27,0
"Leptospira tipperaryensis",0,0,17,0,0,0
"Brachyspira intermedia",0,0,32,0,0,24
"Brachyspira murdochii",0,0,17,0,0,0
"Campylobacter insulaenigrae",0,0,16,74,0,0
"Campylobacter lari",0,0,15,0,0,0
"Sulfurospirillum sp. UCH001",0,0,45,0,0,0
"Sulfurospirillum multivorans",0,0,244,0,29,0
"Sulfurimonas aquatica",0,0,93,0,0,0
"Thiomicrolovo zhangzhouensis",0,0,135,0,0,0
"Thiomicrolovo subterrani",0,0,38,0,58,0
"Sulfonitrofixus jiaomeiensis",0,0,11,0,0,0
"Helicobacter pullorum",0,0,60,0,0,0
"Helicobacter mustelae",0,0,20,0,0,0
"Helicobacter gastrocanis",0,0,27,0,0,0
"Arcobacter sp.",0,0,34,0,0,0
"Nitratifractor salsuginis",0,0,43,0,0,0
"Hydrogenimonas leucolamina",0,0,46,0,0,0
"Hydrogenimonas cancrithermarum",0,0,11,0,0,0
"Nautilia sp. PV-1",0,0,46,0,0,0
"Caminibacter mediatlanticus",0,0,16,0,11,0
"Nitrosophilus labii",0,0,41,0,0,0
"Nitratiruptor sp. YY09-18",0,0,12,0,0,0
"Hippea maritima",0,0,27,0,0,0
"Granulicella sp. 5B5",0,0,72,0,0,0
